"highwayThing","streetName"
"http://linkedgeodata.org/triplify/way25205492","Renkerweg"
"http://linkedgeodata.org/triplify/way25205494","Bukhove"
"http://linkedgeodata.org/triplify/way25442309","Auguste-Viktoria-Allee"
"http://linkedgeodata.org/triplify/way25442316","Lange Straße"
"http://linkedgeodata.org/triplify/way25773107","Lindenweg"
"http://linkedgeodata.org/triplify/way25880098","Am Vorderflöß"
"http://linkedgeodata.org/triplify/way26100158","Schwarzer Weg"
"http://linkedgeodata.org/triplify/way261164407","Lange Straße"
"http://linkedgeodata.org/triplify/way261165148","Schatenweg"
"http://linkedgeodata.org/triplify/way266674449","Burgensteig"
"http://linkedgeodata.org/triplify/way26981138","Stolbergallee"
"http://linkedgeodata.org/triplify/way270573245","Dubelohstraße"
"http://linkedgeodata.org/triplify/way27387257","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way27387258","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way27493108","Steinbekestraße"
"http://linkedgeodata.org/triplify/way282815651","Schatenweg"
"http://linkedgeodata.org/triplify/way282815652","Schatenweg"
"http://linkedgeodata.org/triplify/way285017619","Dubelohstraße"
"http://linkedgeodata.org/triplify/way285303043","Diebesweg"
"http://linkedgeodata.org/triplify/way286835607","Bekergrundweg"
"http://linkedgeodata.org/triplify/way286835608","Bukhove"
"http://linkedgeodata.org/triplify/way286930699","Alte Ziegelei"
"http://linkedgeodata.org/triplify/way293510753","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way297577011","Diebesweg"
"http://linkedgeodata.org/triplify/way301158361","Stolbergallee"
"http://linkedgeodata.org/triplify/way301158362","Stolbergallee"
"http://linkedgeodata.org/triplify/way304643405","Dr.-Pieper-Straße"
"http://linkedgeodata.org/triplify/way30724055","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way30724794","Rathenaustraße"
"http://linkedgeodata.org/triplify/way30724795","Riemekestraße"
"http://linkedgeodata.org/triplify/way31054373","Franz-Schwarzendahl-Weg"
"http://linkedgeodata.org/triplify/way31309232","Gogrevenstraße"
"http://linkedgeodata.org/triplify/way31747467","An den Fischteichen"
"http://linkedgeodata.org/triplify/way31104682","Schatenweg"
"http://linkedgeodata.org/triplify/way31104685","Schatenweg"
"http://linkedgeodata.org/triplify/way31104687","Dubelohstraße"
"http://linkedgeodata.org/triplify/way32276929","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way323559624","Diebesweg"
"http://linkedgeodata.org/triplify/way323631547","Markt"
"http://linkedgeodata.org/triplify/way324612953","Diebesweg"
"http://linkedgeodata.org/triplify/way326433926","Rathenaustraße"
"http://linkedgeodata.org/triplify/way327080836","Kohlstädter Straße"
"http://linkedgeodata.org/triplify/way33182106","Kirchplatz"
"http://linkedgeodata.org/triplify/way33184610","Lange Straße"
"http://linkedgeodata.org/triplify/way33184612","Lange Straße"
"http://linkedgeodata.org/triplify/way33187025","Lange Straße"
"http://linkedgeodata.org/triplify/way33187026","Lange Straße"
"http://linkedgeodata.org/triplify/way336550087","Kohlstädter Straße"
"http://linkedgeodata.org/triplify/way353941685","An den Fischteichen"
"http://linkedgeodata.org/triplify/way353941686","An den Fischteichen"
"http://linkedgeodata.org/triplify/way369646133","Dubelohstraße"
"http://linkedgeodata.org/triplify/way369651561","Dubelohstraße"
"http://linkedgeodata.org/triplify/way37896214","Adenauerstraße"
"http://linkedgeodata.org/triplify/way37896215","Adenauerstraße"
"http://linkedgeodata.org/triplify/way37897325","Am Hammer"
"http://linkedgeodata.org/triplify/way37897326","Am Hammer"
"http://linkedgeodata.org/triplify/way37897327","Am Hammer"
"http://linkedgeodata.org/triplify/way38228128","Am Haxthausenhof"
"http://linkedgeodata.org/triplify/way385055871","Schwarzer Weg"
"http://linkedgeodata.org/triplify/way385608284","Alte Ziegelei"
"http://linkedgeodata.org/triplify/way38228127","Am Haxthausenhof"
"http://linkedgeodata.org/triplify/way389843066","Diebesweg"
"http://linkedgeodata.org/triplify/way389843067","Diebesweg"
"http://linkedgeodata.org/triplify/way39405576","Diebesweg"
"http://linkedgeodata.org/triplify/way39405577","Diebesweg"
"http://linkedgeodata.org/triplify/way403638726","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way407539966","Durbekeweg"
"http://linkedgeodata.org/triplify/way407555882","Durbekeweg"
"http://linkedgeodata.org/triplify/way41284823","Ortwaldstraße"
"http://linkedgeodata.org/triplify/way413654970","Am Hammer"
"http://linkedgeodata.org/triplify/way42153432","Heiersmauer"
"http://linkedgeodata.org/triplify/way4236304","Lippspringer Straße"
"http://linkedgeodata.org/triplify/way43174103","An der Bischofsmühle"
"http://linkedgeodata.org/triplify/way43174109","Gogrevenstraße"
"http://linkedgeodata.org/triplify/way43175519","Bekergrundweg"
"http://linkedgeodata.org/triplify/way43198519","Dubelohstraße"
"http://linkedgeodata.org/triplify/way43198522","Dubelohstraße"
"http://linkedgeodata.org/triplify/way43569999","Am Hammer"
"http://linkedgeodata.org/triplify/way43570001","Am Hammer"
"http://linkedgeodata.org/triplify/way43570562","Durbeke"
"http://linkedgeodata.org/triplify/way43174104","An der Bischofsmühle"
"http://linkedgeodata.org/triplify/way43174110","Gogrevenstraße"
"http://linkedgeodata.org/triplify/way43569996","Durbeke"
"http://linkedgeodata.org/triplify/way43999753","Am Hammer"
"http://linkedgeodata.org/triplify/way43999754","Am Hammer"
"http://linkedgeodata.org/triplify/way457092252","Burgensteig"
"http://linkedgeodata.org/triplify/way45817000","Durbekeweg"
"http://linkedgeodata.org/triplify/way47451133","Am Hammer"
"http://linkedgeodata.org/triplify/way485931488","Am Hammer"
"http://linkedgeodata.org/triplify/way485931489","Am Hammer"
"http://linkedgeodata.org/triplify/way489293800","Bielefelder Straße"
"http://linkedgeodata.org/triplify/way489433416","Bielefelder Straße"
"http://linkedgeodata.org/triplify/way489480059","Talleweg"
"http://linkedgeodata.org/triplify/way489480060","Talleweg"
"http://linkedgeodata.org/triplify/way4986374","Bielefelder Straße"
"http://linkedgeodata.org/triplify/way501847039","Durbeke"
"http://linkedgeodata.org/triplify/way506818163","Talleweg"
"http://linkedgeodata.org/triplify/way51247481","Franz-Schwarzendahl-Weg"
"http://linkedgeodata.org/triplify/way559084632","Am Haxthausenhof"
"http://linkedgeodata.org/triplify/way563198553","Lindenweg"
"http://linkedgeodata.org/triplify/way57197276","Renkerweg"
"http://linkedgeodata.org/triplify/way572974150","Lindenweg"
"http://linkedgeodata.org/triplify/way572980121","Renkerweg"
"http://linkedgeodata.org/triplify/way57382697","Adenauerstraße"
"http://linkedgeodata.org/triplify/way57977198","Stolbergallee"
"http://linkedgeodata.org/triplify/way58403679","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way58403682","Adenauerstraße"
"http://linkedgeodata.org/triplify/way58742133","Liboristraße"
"http://linkedgeodata.org/triplify/way592708738","Durbekeweg"
"http://linkedgeodata.org/triplify/way60219834","Horner Hellweg"
"http://linkedgeodata.org/triplify/way60219835","Horner Hellweg"
"http://linkedgeodata.org/triplify/way60310280","Riemekestraße"
"http://linkedgeodata.org/triplify/way631493134","Burgensteig"
"http://linkedgeodata.org/triplify/way631493137","Alte Ziegelei"
"http://linkedgeodata.org/triplify/way631493138","Alte Ziegelei"
"http://linkedgeodata.org/triplify/way640626733","Adenauerstraße"
"http://linkedgeodata.org/triplify/way640626734","Adenauerstraße"
"http://linkedgeodata.org/triplify/way578027354","Heiersmauer"
"http://linkedgeodata.org/triplify/way634290608","Franz-Schwarzendahl-Weg"
"http://linkedgeodata.org/triplify/way654593036","Am Haxthausenhof"
